text	label
经核实，山体垮塌约150方，砸中停在下面的3辆汽车。	[('BUILD', 14, 16), ('Object', 4, 6), ('Object', 21, 25), ('BUILD', 6, 8), ('Object', 8, 13)]
接警后杭州支队指挥中心立即调派8个中队赶赴现场处置，支队全勤指挥部遂行出动。	[('RES', 35, 37), ('Participant', 3, 11), ('Participant', 26, 33), ('RES', 19, 21), ('Time', 0, 3), ('Participant', 15, 19), ('RES', 13, 15), ('Location', 21, 23)]
2020年6月29日报道。	[('Time', 0, 10), ('MAN', 10, 12)]
火灾发生后，翁牛特旗政府立即组织力量救援和灭火，截至17时15分，现场明火被扑灭，耗时两个小时有余。	[('Location', 33, 35), ('Time', 0, 5), ('Participant', 16, 18), ('Time', 26, 32), ('Participant', 6, 12), ('RES', 18, 23), ('RES', 14, 16), ('Object', 35, 37), ('RES', 38, 40)]
目前，伤员抢救、事故调查、善后处置等工作进行全面进行中。	[('Object', 3, 7), ('Object', 13, 20), ('Object', 8, 12), ('Time', 0, 2), ('MAN', 24, 26)]
2022年5月7日下午，福建厦门市一处排污管道施工地突然塌方，2名工人被埋。	[('BUILD', 35, 37), ('BUILD', 28, 30), ('Time', 0, 11), ('Location', 12, 26), ('Participant', 31, 35)]
2022年12月21日报道。	[('Time', 0, 11), ('MAN', 11, 13)]
2020年1月5日下午15时30分左右,位于武汉市江夏区天子山大道1号的武汉巴登城生态休闲旅游开发项目一期工程发生一起较大建筑施工坍塌事故,造成11名作业人员被困。	[('Time', 0, 19), ('Location', 22, 55), ('BUILD', 79, 81), ('Participant', 72, 79), ('BUILD', 61, 69)]
2018年12月17日报道。	[('MAN', 11, 13), ('Time', 0, 11)]
当地已成立事故调查组，有关事故原因正在进一步调查中，善后工作已经开展。	[('Location', 0, 2), ('Participant', 5, 10), ('Object', 13, 17), ('Object', 26, 30), ('MAN', 32, 34), ('MAN', 3, 5), ('MAN', 22, 24)]
此次火灾导致6间商铺被烧毁。	[('Object', 6, 10), ('LOSS', 11, 13)]
事故发生后，当地相关部门立即赶赴事故现场，全力组织抢险救援、伤员救治和善后工作等。	[('Participant', 6, 12), ('Object', 25, 40), ('Time', 0, 5), ('RES', 23, 25), ('RES', 14, 16), ('Location', 16, 20)]
2020年11月4日13时许，铜川市印台区铜川乔子梁煤业有限公司（简称乔子梁煤业）发生一起疑似瓦斯突出事故，当班入井42人，已安全升井34人，目前有8人尚未联系上。	[('Location', 15, 32), ('Participant', 67, 70), ('Object', 47, 49), ('COAL', 49, 51), ('Time', 0, 14), ('CAS', 76, 80), ('RES', 63, 67), ('Participant', 74, 76)]
甘肃省应急管理厅、省消防救援总队相关救援力量正在现场开展事故救援和应急处置工作。	[('Participant', 0, 22), ('RES', 26, 28), ('Location', 24, 26), ('Object', 28, 39)]
右安门消防救援站前方指挥尚学振带领2个搜救组、1名安全员共10人，先利用无齿锯、铁锹、工兵铲等器材对埋压人员所在位置进行挖掘搜救，之后再徒手刨挖。	[('RES', 15, 17), ('RES', 60, 64), ('Object', 36, 49), ('Participant', 17, 32), ('Participant', 0, 15), ('RES', 34, 36), ('Location', 50, 58)]
2019年12月18日报道。	[('Time', 0, 11), ('MAN', 11, 13)]
火灾发生后，北京市委书记蔡奇，北京市委副书记、代市长陈吉宁立即赶赴现场指挥抢救处置。	[('MAN', 31, 33), ('Location', 33, 35), ('Time', 0, 5), ('Participant', 6, 14), ('Object', 37, 41), ('MAN', 35, 37), ('Participant', 15, 29)]
目前事故车辆双方驾驶员均已被警方控制，相关事故原因调查及善后工作正在进行中。	[('Participant', 2, 11), ('MAN', 34, 36), ('MAN', 16, 18), ('Participant', 14, 16), ('Time', 0, 2), ('Object', 19, 32)]
2018年1月23日晚11点左右，镇江句容南工路茶叶城天王大酒店突发大火，火灾造成一家四口被困，其中包含一名10岁的小孩。	[('Time', 0, 16), ('Location', 17, 32), ('Participant', 41, 45), ('FIRE', 45, 47), ('FIRE', 34, 36)]
目前，兴山县已成立工作专班开展善后工作。	[('MAN', 7, 9), ('Participant', 9, 13), ('Object', 15, 19), ('Participant', 3, 6), ('MAN', 13, 15), ('Time', 0, 2)]
县委县政府主要领导迅速赶到现场，组织指挥事故处置。	[('RES', 16, 20), ('Object', 20, 24), ('Location', 13, 15), ('RES', 11, 13), ('Participant', 0, 9)]
2020年6月13日报道。	[('MAN', 10, 12), ('Time', 0, 10)]
2021年3月25日凌晨3时51分许，华阳新材料科技集团石港煤业有限公司井下15210进风顺槽掘进工作面发生煤与瓦斯突出事故，当班12人，8人升井，4人被困。	[('Participant', 74, 76), ('COAL', 76, 78), ('Participant', 69, 71), ('Time', 0, 18), ('Location', 19, 52), ('COAL', 58, 60), ('RES', 71, 73), ('Object', 54, 58)]
调查认定，事故的直接原因是部分顶升工人违规饮酒后作业，最终导致塔吊倾覆坍塌。	[('BUILD', 19, 26), ('BUILD', 33, 37), ('Object', 31, 33), ('Participant', 13, 19)]
事故发生后，金城江区委、区人民政府主要领导及金城江区应急办、安监、交警、人社、公安、消防、市住建等部门赶赴现场开展救援工作。	[('RES', 55, 57), ('Participant', 33, 35), ('Participant', 30, 32), ('Time', 0, 5), ('Participant', 36, 38), ('Participant', 6, 21), ('Participant', 42, 44), ('Participant', 22, 29), ('Location', 53, 55), ('RES', 51, 53), ('Participant', 45, 51), ('Object', 57, 61), ('Participant', 39, 41)]
2017年11月24日报道。	[('MAN', 11, 13), ('Time', 0, 11)]
2019年3月31日报道。	[('MAN', 10, 12), ('Time', 0, 10)]
2022年9月5日报道。	[('Time', 0, 9), ('MAN', 9, 11)]
2021年8月4日报道。	[('Time', 0, 9), ('MAN', 9, 11)]
